bin_size_bp	n_tiles	n_samples	median_pairwise_spearman_log	median_CV_raw	median_MAD_log2	stable_tiles_top10pct_prop	bootstrap_stabletiles_jaccard_mean
300	8829028	35	0.804702945831581	0.718475109236943	0.573800482321769	0.10000002265255	0.820093011454339
600	4414523	35	0.8542653200861	0.556316076446726	0.615334596430814	0.100000158567528	0.788774147730098
900	2943024	35	0.885495169345291	0.464743520115709	0.615334596430814	0.100000203871936	0.758294602830157
1200	2207274	35	0.905690507479389	0.407269292855178	0.537546399695768	0.100000271828509	0.745730127139843
