rep	seed	auc_before	auc_after	aucdiff	p_delong	sens_before_spec0.95	sens_after_spec0.95	thr_before_spec0.95	thr_after_spec0.95	sens_before_spec0.99	sens_after_spec0.99	thr_before_spec0.99	thr_after_spec0.99
1	1	0.935135135135135	0.925675675675676	-0.00945945945945947	0.624171116831536	0.837837837837838	0.824324324324324	0.705977291888085	0.715437925547062	0.77027027027027	0.797297297297297		
2	2	0.915540540540541	0.937162162162162	0.0216216216216217	0.350531938963011	0.851351351351351	0.851351351351351	0.669484785843749	0.705265198963146	0.837837837837838	0.837837837837838		
3	3	0.962837837837838	0.933783783783784	-0.0290540540540544	0.0677906545818031	0.891891891891892	0.864864864864865	0.652125072007202	0.659892077798315	0.864864864864865	0.824324324324324		
4	4	0.949324324324325	0.917567567567568	-0.031756756756757	0.129393981896412	0.824324324324324	0.878378378378378	0.682591023219866	0.701988096780141	0.797297297297297	0.783783783783784		
5	5	0.894594594594594	0.901351351351351	0.00675675675675691	0.800446313828187	0.810810810810811	0.864864864864865	0.696857385015338	0.695039375262181	0.810810810810811	0.864864864864865		
6	6	0.910135135135135	0.900675675675676	-0.00945945945945925	0.698003181904658	0.783783783783784	0.824324324324324	0.754740474248363	0.736309096108231	0.783783783783784	0.743243243243243		
7	7	0.943918918918919	0.905405405405405	-0.0385135135135134	0.0940518123356587	0.878378378378378	0.878378378378378	0.67935647325604	0.690027630849869	0.864864864864865	0.783783783783784		
8	8	0.92027027027027	0.901351351351351	-0.0189189189189189	0.41195288892548	0.824324324324324	0.810810810810811	0.733721996224121	0.728559985013663	0.824324324324324	0.77027027027027		
9	9	0.943243243243243	0.924324324324324	-0.0189189189189192	0.347389023241105	0.797297297297297	0.864864864864865	0.736875786482284	0.678327518208054	0.797297297297297	0.851351351351351		
10	10	0.941891891891892	0.926351351351351	-0.0155405405405405	0.44231923469769	0.837837837837838	0.837837837837838	0.703318130558534	0.729772960325196	0.810810810810811	0.77027027027027		
11	11	0.940540540540541	0.918243243243243	-0.0222972972972975	0.23494402422763	0.851351351351351	0.864864864864865	0.671551154574754	0.710970291176121	0.824324324324324	0.851351351351351		
12	12	0.95	0.908108108108108	-0.0418918918918919	0.0498846817036312	0.864864864864865	0.864864864864865	0.655531530509119	0.682087134670837	0.864864864864865	0.837837837837838		
13	13	0.936486486486487	0.906081081081081	-0.0304054054054057	0.194431068200569	0.824324324324324	0.851351351351351	0.702463507085565	0.718923983258783	0.810810810810811	0.797297297297297		
14	14	0.937162162162162	0.918918918918919	-0.0182432432432432	0.33664868213459	0.810810810810811	0.824324324324324	0.722570604560817	0.722904536184284	0.810810810810811	0.810810810810811		
15	15	0.922297297297297	0.914864864864865	-0.00743243243243263	0.751387703047966	0.824324324324324	0.851351351351351	0.675309977352378	0.714493815898721	0.824324324324324	0.837837837837838		
16	16	0.936486486486487	0.914864864864865	-0.0216216216216218	0.351773684610918	0.864864864864865	0.837837837837838	0.638418563846832	0.722187492505336	0.864864864864865	0.797297297297297		
17	17	0.89527027027027	0.90472972972973	0.0094594594594597	0.63473579236413	0.810810810810811	0.824324324324324	0.729796434813428	0.718023061802327	0.810810810810811	0.810810810810811		
18	18	0.941891891891892	0.922972972972973	-0.0189189189189193	0.383087021316011	0.851351351351351	0.864864864864865	0.709321180603949	0.680249750880414	0.810810810810811	0.864864864864865		
19	19	0.931756756756757	0.902027027027027	-0.0297297297297299	0.157668201535138	0.837837837837838	0.851351351351351	0.696711686883948	0.718856060497772	0.837837837837838	0.783783783783784		
20	20	0.914189189189189	0.905405405405405	-0.00878378378378397	0.707330652922547	0.851351351351351	0.864864864864865	0.676591744865628	0.721744117678111	0.77027027027027	0.851351351351351		
21	21	0.947297297297297	0.933108108108108	-0.0141891891891892	0.369936022645963	0.878378378378378	0.851351351351351	0.683500458747935	0.723247760951357	0.864864864864865	0.824324324324324		
22	22	0.93445945945946	0.905405405405405	-0.0290540540540541	0.141039287220348	0.851351351351351	0.797297297297297	0.651569137002995	0.729383849433362	0.783783783783784	0.797297297297297		
23	23	0.939189189189189	0.889864864864865	-0.0493243243243244	0.0304889840185243	0.837837837837838	0.851351351351351	0.672939168449663	0.705443851606446	0.77027027027027	0.540540540540541		
24	24	0.914189189189189	0.913513513513514	-0.000675675675675391	0.978623041281581	0.837837837837838	0.864864864864865	0.681186142920534	0.707764578381036	0.797297297297297	0.851351351351351		
25	25	0.961486486486486	0.941891891891892	-0.0195945945945942	0.206615313069453	0.891891891891892	0.851351351351351	0.648270916118074	0.664262045927294	0.851351351351351	0.851351351351351		
26	26	0.931081081081081	0.917567567567567	-0.0135135135135138	0.594926427614112	0.824324324324324	0.891891891891892	0.707432588983761	0.660857241193253	0.797297297297297	0.851351351351351		
27	27	0.913513513513514	0.901351351351351	-0.0121621621621625	0.628848149692861	0.783783783783784	0.837837837837838	0.736337509237079	0.68331460820881	0.783783783783784	0.837837837837838		
28	28	0.927027027027027	0.922972972972973	-0.00405405405405412	0.841861382082785	0.851351351351351	0.837837837837838	0.679677624270037	0.702080693770922	0.851351351351351	0.837837837837838		
29	29	0.947297297297298	0.914864864864865	-0.0324324324324328	0.087550936214288	0.878378378378378	0.810810810810811	0.65322574313407	0.737195456966006	0.851351351351351	0.810810810810811		
30	30	0.952702702702703	0.907432432432432	-0.0452702702702705	0.103715362643208	0.891891891891892	0.837837837837838	0.673156335710762	0.717969548245314	0.891891891891892	0.810810810810811		
31	31	0.95472972972973	0.929729729729729	-0.0250000000000004	0.239356327785188	0.864864864864865	0.837837837837838	0.651186160765337	0.717535508334128	0.851351351351351	0.810810810810811		
32	32	0.94527027027027	0.928378378378378	-0.0168918918918919	0.315173867015053	0.864864864864865	0.851351351351351	0.699770081955372	0.708748638192617	0.824324324324324	0.851351351351351		
33	33	0.927702702702703	0.910810810810811	-0.0168918918918921	0.524727567513688	0.837837837837838	0.864864864864865	0.683651874632053	0.697719170661712	0.810810810810811	0.864864864864865		
34	34	0.919594594594595	0.883783783783784	-0.0358108108108111	0.183091490868148	0.783783783783784	0.689189189189189	0.802542097404665	0.831997454227506	0.743243243243243	0.513513513513514		
35	35	0.92972972972973	0.944594594594595	0.0148648648648648	0.472169225791494	0.810810810810811	0.878378378378378	0.685523659909527	0.693764343785489	0.810810810810811	0.878378378378378		
36	36	0.946621621621622	0.928378378378378	-0.0182432432432434	0.441922462742225	0.878378378378378	0.864864864864865	0.678997847540679	0.661533881040792	0.864864864864865	0.864864864864865		
37	37	0.912162162162162	0.889864864864865	-0.0222972972972973	0.413831508156162	0.810810810810811	0.783783783783784	0.738745963126103	0.784700459678629	0.810810810810811	0.743243243243243		
