metric	mean	sd	q2.5	q50	q97.5
auc_before	0.934070945945946	0.0141664514169028	0.902331081081081	0.935135135135135	0.958141891891892
auc_after	0.915959459459459	0.012258009499116	0.889864864864865	0.916891891891892	0.93652027027027
auc_diff_after_minus_before	-0.0181114864864866	0.0148450665283932	-0.0449493243243246	-0.0172297297297299	0.0105236486486488
p_delong_per_repeat	0.423756222327488	0.276528846024749	0.0519607289411327	0.377276854858512	0.941113045424233
